title,price_revenue,product_code,rating,reviews,url,brand,ean,sku,price_base_revenue,price_currency,price_tax,price_offers,payment_one_off_amount,payment_monthly_amount,availability_shipping_status,availability_collect_status,availability_shipping_type,availability_collect_type,category_categories,category_merchendising_area,category_sub_planning_group,category_planning_group,category_product_type
"APPLE Mac mini (2024) - M4, 256 GB SSD, Silver",569,10273294,"4.80
            out of 5 stars",16 reviews,https://www.currys.co.uk/products/apple-mac-mini-2024-m4-256-gb-ssd-silver-10273294.html,APPLE,['195949080104'],399379,599,GBP,94.83333333333333,"price drop, Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",569,23.06,shipping,collect in store,Delivery available,FREE in-store collection in as little as 1 hour,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE MAC MINI,APPLE DESKTOP,product
"APPLE Mac Studio - M3 Ultra, 1 TB SSD, Silver",4199,10277096,No rating,No reviews,https://www.currys.co.uk/products/apple-mac-studio-m3-ultra-1-tb-ssd-silver-10277096.html,APPLE,['195949056543'],407501,4199,GBP,699.8333333333334,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",4199,170.18,shipping,collect in store,Delivery available,FREE in-store collection in as little as 1 hour,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE Mac Studio - M4 Max, 512 GB SSD, Silver",2099,10277095,No rating,No reviews,https://www.currys.co.uk/products/apple-mac-studio-m4-max-512-gb-ssd-silver-10277095.html,APPLE,['195949056109'],407500,2099,GBP,349.83333333333337,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",2099,85.07,shipping,collect in store,Delivery available,FREE in-store collection in as little as 1 hour,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Blue",1499,10273288,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-blue-10273288.html,APPLE,['195949597091'],399373,1499,GBP,249.83333333333334,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1499,60.75,shipping,collect in store,Delivery available,FREE in-store collection in as little as 1 hour,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Silver",1249,10273280,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-silver-10273280.html,APPLE,['195949591341'],399360,1299,GBP,208.16666666666666,"price drop, Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1249,50.62,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Blue",1299,10273282,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-blue-10273282.html,APPLE,['195949592669'],399365,1299,GBP,216.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1299,52.64,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE Mac mini (2024) - M4, 512 GB SSD, Silver",799,10273295,"4.80
            out of 5 stars",20 reviews,https://www.currys.co.uk/products/apple-mac-mini-2024-m4-512-gb-ssd-silver-10273295.html,APPLE,['195949080548'],399381,799,GBP,133.16666666666666,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",799,32.38,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE MAC MINI,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Pink",1299,10273283,No rating,No reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-pink-10273283.html,APPLE,['195949593109'],399366,1299,GBP,216.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1299,52.64,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Silver",1699,10273285,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-silver-10273285.html,APPLE,['195949594939'],399368,1699,GBP,283.1666666666667,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1699,68.85,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Silver",1899,10273275,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-silver-10273275.html,APPLE,['195949925153'],399352,1899,GBP,316.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1899,76.96,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE Mac mini (2024) - M4, 512 GB SSD, Silver",999,10273293,"4.80
            out of 5 stars",20 reviews,https://www.currys.co.uk/products/apple-mac-mini-2024-m4-512-gb-ssd-silver-10273293.html,APPLE,['195949942792'],399378,999,GBP,166.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",999,40.48,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE MAC MINI,APPLE DESKTOP,product
"APPLE Mac mini (2024) - M4 Pro, 512 GB SSD, Silver",1399,10273292,"4.80
            out of 5 stars",20 reviews,https://www.currys.co.uk/products/apple-mac-mini-2024-m4-pro-512-gb-ssd-silver-10273292.html,APPLE,['195949942389'],399377,1399,GBP,233.16666666666666,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1399,56.69,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE MAC MINI,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Green",1299,10273281,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-green-10273281.html,APPLE,['195949592225'],399362,1299,GBP,216.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1299,52.64,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Blue",1699,10273289,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-blue-10273289.html,APPLE,['195949609466'],399374,1699,GBP,283.1666666666667,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1699,68.85,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Pink",1899,10273278,No rating,No reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-pink-10273278.html,APPLE,['195950076028'],399358,1899,GBP,316.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1899,76.96,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Blue",1899,10273277,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-blue-10273277.html,APPLE,['195950075564'],399357,1899,GBP,316.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1899,76.96,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Green",1899,10273276,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-green-10273276.html,APPLE,['195950075106'],399354,1899,GBP,316.5,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1899,76.96,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Silver",1499,10273284,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-silver-10273284.html,APPLE,['195949594496'],399367,1499,GBP,249.83333333333334,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1499,60.75,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 512 GB SSD, Green",1699,10273287,"4.80
            out of 5 stars",62 reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-512-gb-ssd-green-10273287.html,APPLE,['195949596667'],399370,1699,GBP,283.1666666666667,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1699,68.85,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
"APPLE iMac 4.5K 24"" (2024) - M4, 256 GB SSD, Green",1499,10273286,No rating,No reviews,https://www.currys.co.uk/products/apple-imac-4.5k-24-2024-m4-256-gb-ssd-green-10273286.html,APPLE,['195949596230'],399369,1499,GBP,249.83333333333334,"Get up to 3 months of Apple TV+, Apple Music, Apple Fitness+ and Apple Arcade with this product., Free next day delivery on this product in most areas., Save £20 on M365 Family or Save £20 on M365 Personal when you buy this product., Free standard delivery, Free next day delivery on Computing and Apple, BNPL6 ",1499,60.75,shipping,collect in store,Delivery available,Free collection (subject to availability) ,"Computing, Desktop PCs, Desktops",APPLE MAC,APPLE IMAC,APPLE DESKTOP,product
